benchmark,model_id,doc_id,strict_exact_match,entity_precision,entity_recall,entity_f1,null_field_accuracy,hallucination_rate,schema_valid
ru-bank-ie,Qwen/Qwen3-1.7B,1,0.0,0.3333333333333333,0.13043478260869565,0.18750000000000003,0.6,0.025,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,2,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7058823529411765,0.14705882352941177,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,3,0.0,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.6944444444444444,0.1388888888888889,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,4,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,5,0.0,0.0,0.0,0.0,0.5925925925925926,0.0,0.0
ru-bank-ie,Qwen/Qwen3-1.7B,6,0.0,0.14285714285714285,0.16666666666666666,0.15384615384615383,0.6764705882352942,0.17647058823529413,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,8,0.0,0.5714285714285714,0.16666666666666666,0.25806451612903225,0.5476190476190477,0.023809523809523808,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,9,0.0,0.2857142857142857,0.5,0.36363636363636365,0.7941176470588235,0.14705882352941177,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,10,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0
ru-bank-ie,Qwen/Qwen3-1.7B,12,0.0,0.125,0.05263157894736842,0.07407407407407407,0.43902439024390244,0.14634146341463414,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,13,0.0,0.5,0.20833333333333334,0.29411764705882354,0.6190476190476191,0.023809523809523808,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,14,0.0,0.0,0.0,0.0,0.8148148148148148,0.0,0.0
ru-bank-ie,Qwen/Qwen3-1.7B,15,0.0,0.0,0.0,0.0,0.6341463414634146,0.0,0.0
ru-bank-ie,Qwen/Qwen3-1.7B,17,0.0,0.0,0.0,0.0,0.6176470588235294,0.14705882352941177,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,18,0.0,0.0,0.0,0.0,0.7037037037037037,0.0,0.0
ru-bank-ie,Qwen/Qwen3-1.7B,19,0.0,0.25,0.14285714285714285,0.18181818181818182,0.7352941176470589,0.08823529411764706,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,20,0.0,0.4,0.16666666666666666,0.23529411764705882,0.6666666666666666,0.06060606060606061,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,21,0.0,0.0,0.0,0.0,0.4411764705882353,0.0,0.0
ru-bank-ie,Qwen/Qwen3-1.7B,22,0.0,0.5,0.11538461538461539,0.1875,0.5,0.0,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,23,0.0,0.125,0.05,0.07142857142857144,0.4146341463414634,0.14634146341463414,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,24,0.0,0.0,0.0,0.0,0.75,0.0,0.0
ru-bank-ie,Qwen/Qwen3-1.7B,25,0.0,0.14285714285714285,0.2,0.16666666666666666,0.7058823529411765,0.17647058823529413,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,26,0.0,0.2222222222222222,0.1111111111111111,0.14814814814814814,0.46511627906976744,0.16279069767441862,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,28,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
ru-bank-ie,Qwen/Qwen3-1.7B,29,0.0,0.4,0.3333333333333333,0.3636363636363636,0.696969696969697,0.12121212121212122,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,30,0.0,0.375,0.13636363636363635,0.19999999999999998,0.42857142857142855,0.08571428571428572,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,31,0.0,0.375,0.16666666666666666,0.23076923076923078,0.5121951219512195,0.12195121951219512,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,34,0.0,0.5714285714285714,0.4,0.47058823529411764,0.7272727272727273,0.09090909090909091,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,35,0.0,0.4444444444444444,0.25,0.32,0.6341463414634146,0.0975609756097561,1.0
ru-bank-ie,Qwen/Qwen3-1.7B,36,0.0,0.0,0.0,0.0,0.7241379310344828,0.0,0.0
