benchmark,model_id,doc_id,strict_exact_match,entity_precision,entity_recall,entity_f1,null_field_accuracy,hallucination_rate,schema_valid
ru-bank-ie,numind/NuExtract-2.0-2B,1,0.0,0.4666666666666667,0.30434782608695654,0.3684210526315789,0.8048780487804879,0.0,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,2,0.0,0.6,0.8571428571428571,0.7058823529411764,0.9302325581395349,0.06976744186046512,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,3,0.0,0.625,0.7142857142857143,0.6666666666666666,0.9761904761904762,0.023809523809523808,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,4,0.0,0.5,0.6666666666666666,0.5714285714285715,0.9767441860465116,0.023255813953488372,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,5,0.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.9069767441860465,0.046511627906976744,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,6,0.0,0.42857142857142855,0.5,0.4615384615384615,0.9767441860465116,0.023255813953488372,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,8,0.0,0.7647058823529411,0.5416666666666666,0.6341463414634146,0.775,0.025,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,9,0.0,0.75,0.75,0.75,1.0,0.0,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,10,0.0,0.2727272727272727,0.14285714285714285,0.18749999999999997,0.5609756097560976,0.0975609756097561,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,12,0.0,0.375,0.3157894736842105,0.34285714285714286,0.6904761904761905,0.11904761904761904,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,13,0.0,0.6785714285714286,0.7916666666666666,0.7307692307692307,0.8,0.15,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,14,0.0,0.8333333333333334,1.0,0.9090909090909091,0.9767441860465116,0.023255813953488372,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,15,0.0,0.6,0.4,0.48,0.7804878048780488,0.04878048780487805,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,17,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,18,0.0,0.7777777777777778,0.875,0.823529411764706,0.9302325581395349,0.046511627906976744,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,19,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.0,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,20,0.0,0.5,0.5,0.5,0.8571428571428571,0.07142857142857142,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,21,0.0,0.5625,0.47368421052631576,0.5142857142857142,0.7380952380952381,0.09523809523809523,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,22,0.0,0.5333333333333333,0.3076923076923077,0.3902439024390244,0.7317073170731707,0.0,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,23,0.0,0.47619047619047616,0.5,0.4878048780487805,0.7857142857142857,0.11904761904761904,1.0
ru-bank-ie,numind/NuExtract-2.0-2B,24,0.0,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.9512195121951219,0.04878048780487805,1.0
